No_;Nazwa_PL;Skład_PL;Opis_PL;Nazwa_EN;Skład_EN;Opis_EN;Gender;Gramatura;Net Weight;PVS Item Type Code$5452f323-059e-499a-9753-5d2c07eef904;PVS Quality Type Code$5452f323-059e-499a-9753-5d2c07eef904
TRL/BLS7/32;Wodoodporny Fartuch Basic;100% Poliester;"Wodoodporny fartuch śliniakowy z paskami wykonanymi z tkaniny fartuchowej. Zapewnia skuteczną ochronę przed rozpryskami wody i zabrudzeniami dzięki powłoce pu. Idealny do zastosowania w wielu różnych dziedzinach zawodowych, np. podczas mycia naczyń w gastronomii, pracy w salonach fryzjerskich, centrach ogrodniczych i kwiaciarniach i wielu innych. Doskonały towarzysz w ogrodnictwie, rzemiośle, pracach porządkowych i innych zajęciach w czasie wolnym. Małe zabrudzenia i zachlapania można łatwo zetrzeć. W przypadku uporczywych plam można prać w temperaturze do 60°C. Pasek do noszenia na śliniaku z klamrą umożliwiającą regulację długości do 78 cm. Dodatkowa wytrzymałość dzięki wzmocnionym punktom naprężenia na 
paski fartucha. Wskazówki pielęgnacyjne: prasować fartuch najpóźniej po 5 cyklach prania, aby zachować wodoodporną funkcję ochronną (prasować w niskiej temperaturze, maksymalnie 110°C, bez pary).";Water-Repellent Bib Apron Basic with Buckle;100% Polyester;"Water-repellent bib apron with straps made of apron fabric. Provides effective protection against splashes of water and dirt thanks to pu coating. Ideal for use in many different occupational areas, e.g. When washing dishes in gastronomy, working in hairdressing salons, garden centres and flower shops and much more. Also the perfect companion for gardening, handicraft, cleaning work and other leisure activities. Small amounts of dirt and splashes can be easily wiped off. 
Washable up to 60 °c for stubborn stains. Bib strap with buckle for adjusting to any length up to 78 cm. Additional durability due to reinforced stress points on 
the apron straps. Care instructions: iron the bib apron completely after every 5th washing cycle at the latest to maintain the water-repellent protective function (iron at a low temperature, maximum 110 °c, without steam)";U;110;0,192;OT;OR
GMO/MO6260/13;Fartuch z bawełny 340 gr/m2;Bawełna Organiczna;Regulowany fartuch kuchenny z 2 kieszeniami z przodu, z bawełny organicznej o gramaturze 340 gr/m?.;Organic cotton apron 340 gr/m?;Organic Cotton;Adjustable kitchen apron with 2 front pockets in 340 gr/m? organic cotton/canvas.;;340;0,435;OT;
TKA/WK511/L335/9;Kurtka Kuchenna Oddychająca Unisex;65% Poliester/35% Bawełna;65% poliester z recyklingu / 35% bawełna. Tkanina twill. Pranie przemysłowe i/lub domowe w temperaturze 60°C. Prosty krój. Kołnierzyk typu stójka. Dopasowana taśma wzmacniająca na karku z twillu. Jedna kieszeń na piersi z lamówką i przeszyciem oraz jedna kieszeń na długopis na rękawie, po lewej stronie, gdy jest noszona. Zapięcie na krzyż na metalowe zatrzaski ukryte pod plisą. Tylny panel z oddychającej siateczki w tym samym kolorze. Rozcięcia po bokach. Wykończenie na dole i mankietach. Kieszeń RFID u dołu nad metkami. Odpinana metka marki.;Unisex Breathable Cooking Jacket;65% Polyester/35% Cotton;65% recycled polyester / 35% cotton. Twill fabric. Industrial and/or domestic washing at 60°C. Straight fit. Mandarin collar. Matching twill inner taped neck. One piped, topstitched chest pocket and one pen pocket on the sleeve, left side when worn. Cross-over fastening with metal press studs concealed under the placket. Breathable matching mesh back panel. Side slits. Finish on the hem and cuffs. RFID pocket at hem above labels. Detachable brand label.;U;180;0,39;OT;
TRL/JF2/3/50;Damska Bluza Szefa Kuchni - Pauline;100% Bawełna;Kolor bluzy biały, kolor guzików czerwony (guziki KK6). Można praw w temperaturze do 95 C;Ladies' Chef Jacket - Pauline;100% Cotton;Highly refined, pre-shrunk, colourfast. Chef jacket for ladies in a tight fit, bust darts. Short sleeves. Chest pocket on the left. 10-button double breasted jacket, without buttons. Washable 95°C;W;210;0,132;OT;
TRL/MM6/03/56;;;;Men's Medical and Lab Coat Modern-Shape;65% Polyester/35% Cotton;Twill weave, 65% polyester / 35% cotton, 215 g/m?. Highly refined, pre-shrunk, colourfast, easy-care. Long work coat for men with modern stand-up collar. Versatile use in medicine, pharmacies, laboratories and much more. Very high washability at 95 c ensures clinical cleanliness. Slightly tailored cut. 2 patch side pockets with concealed inside pocket on the right. 1 loop in the side pocket for attaching a key chain. 1 patch breast pocket on the left (at least 10 x 11,5 cm). Hidden button placket with 6 press studs. Side slits for extra freedom of movement. Long sleeves with size-adjustable single-button cuffs. Suitable for industrial laundry. Matching article: ladies' medical and lab coat - mf 4 (manufacturers article number).;M;215;0,592;OT;
GVG/VG019/16;Fartuch VINGA Casbas;Bawełna;Fartuch kuchenny, wykonany z bawełny, detale ze skóry wegańskiej, kieszeń z przodu, regulowany pasek;VINGA Casbas Apron;Cotton;Stylish and classic apron in thick cotton canvas with discreet details in vegan leather. Adjustable buckle closure at the top and large pocket in the front. An apron with a long lifespan that only gets more beautiful with time.;;0;1;OT;OR
TRL/LS40/39;Fartuch New-Nature;65% Poliester z Recyklingu/35% Bawełna;Trwałe kolory, łatwa pielęgnacja, zrównoważony rozwój. Nowoczesny i trwały fartuch w naturalnym, miejskim stylu. Poliester wykonany z przetworzonego plastiku. Paski w talii i na śliniaku wykonane z kontrastujących kolorowych sznurków zapewniają naturalny wygląd i doskonałe dopasowanie. Wzmocnienie materiałowe na ściągaczu zwiększa komfort noszenia w okolicy szyi. Na wysokości klatki piersiowej wytłaczana kieszeń na długopisy lub pęsetę. Kontrastowe szwy na kieszeni uzupełniają naturalny wygląd. Pasujący fartuch biodrowy model: VS 13 (numer artykułu producenta).;Bib Apron New-Nature;65% Polyester (Recycled)/35% Cotton;Colourfast, easy-care, sustainable. Modern and sustainable bib apron in natural urban style. Polyester made from recycled plastic. Waist and bib bands made of contrasting coloured cords provide a natural look and an excellent fit. Fabric reinforcement on the bib band makes the neck area more comfortable to wear. Welt pocket at chest level for pens or gastropin tweezers. Contrast stitching on the pocket complements the natural look. Matching waist apron model: VS 13 (manufacturer article number).;U;215;0,28;OT;OR
TKA/K8007/O176;Fartuch z Kieszenią z Bawełny Organicznej;100% Bawełna;100% bawełna. Fartuch wykonany w 100% z bawełny organicznej. Certyfikat GOTS (Global Organic Textile Standard) wydawany jest przez Ecocert Greenlife. Pranie domowe w wieku 60 lat. Plastikowa klamra z recyklingu na wysokości szyi do regulacji długości fartucha. Duża przednia kieszeń z dwiema przegrodami. Wymiary: długość 90 cm x szerokość 76 cm. Kieszeń: długość 20 cm x szerokość 31,5 cm.;Apron With Pocket In Organic Cotton;100% Cotton;100% cotton. This apron is made from 100% organic cotton. The GOTS (Global Organic Textile Standard) certificate is issued by Ecocert Greenlife. Domestic washing at 60. Recycled plastic buckle at neck level to adjust length of apron. Large front pocket with two compartments. Dimensions: Length 90 cm x Width 76 cm.   Pocket: Length 20 cm x Width 31.5 cm. ;;280;0,45;OT;OR
TRL/JF1/3/38;Damska Bluza Szefa Kuchni Agathe;100% Bawełna;Splot diagonalny, 210 g / m? - wysokiej jakości, wstępnie wykurczona, trwały kolor - damska kucharka bluza o ciasnym kroju, zaszewki na biust - mankiety z rozcięciem - kieszeń na piersi po lewej stronie - dwurzędowa kurtka z 10 guzikami, bez guzików - nadaje się do prania przemysłowego;Ladies' Chef Jacket Agathe;100% Cotton;Twill weave, 210 g/m? - highly refined, pre-shrunk, colourfast - chef jacket for ladies in a tight fit, bust dart - sleeve cuffs with slit - chest pocket on the left - 10-button double breasted jacket, without buttons - suitable for industrial laundry;W;210;0,185;OT;
TRL/DCJM8/69/54;Kurtka Kucharska Męska Długi Rękaw DIAMOND CUT Avantgarde;Część Przednia: 48% Poliester/48% Lyocell/4% Elastoolefina Część Tylna i Rękawy: 55% Bawełna/45% Poliester (Z Recyklingu);Przód: tkanina twill, 48% poliester/48% lyocell/4% elastoolefina, 180 g/m?, wysoce uszlachetniona, wstępnie skurczona. Tył i rękawy: tkanina Jersey Piqué, 55% bawełna/45% poliester (z recyklingu), 185 g/m?, oddychająca, regulująca wilgoć. Wysokiej jakości, elegancka męska kurtka kucharska z długimi rękawami i smukłą sylwetką. Bezkompromisowa innowacja w ponadczasowym designie z maksymalnym komfortem — stworzona dla szefów kuchni, którzy wyznaczają nowe standardy. Dopasowanie: dopasowany krój (zwężany). Przód wykonany z wygodnej, elastycznej tkaniny z wysokiej jakości lyocellem TENCEL™. Tył i rękawy wykonane z wyjątkowo cienkiej, zrównoważonej tkaniny Jersey Piqué zapewniającej oddychalność, wyrównywanie temperatury i niezrównany komfort. Materiał na plecach i rękawach zawiera poliester z recyklingu. Stylowy kołnierz-stójka i regulowane mankiety stanowią wyrafinowane elementy wzornictwa. Funkcjonalna pętelka na kołnierzu z tyłu do przypięcia fartucha (zapobiega zsuwaniu się). Ukryta plisa z zatrzaskami z przo;Long-sleeved Men's Chef Jacket DIAMOND CUT Avantgarde;Front Section: 48% Polyester/48% Lyocell/4% Elastolefin Back Section & Sleeves: 55% Cotton/45% Polyester (Recycled);front: twill fabric, 48% polyester/48% lyocell (Tencel®)/4% elastolefin, 180 g/m?, highly refined, pre-shrunk. back & sleeves: Jersey piqué fabric, 55% cotton/45% polyester (recycled), 185 g/m?, breathable, moisture-regulating. . high-quality, elegant men's chef's jacket with long sleeves and a slim silhouette. an uncompromising innovation in a timeless design with maximum comfort - created for chefs who set new standards. fit: slim fit (tapered cut). front made from comfortable stretch fabric with high-quality TENCEL™ lyocell content. back and sleeves are made from extra-fine, sustainable jersey piqué fabric for breathability, temperature equalisation and unrivalled comfort. the fabric in the back and sleeves contains recycled polyester. stylish stand-up collar and size-adjustable cuffs as sophisticated design elements. functional loop on the back collar to hold a bib apron (prevents slipping). concealed press stud placket in the centre front for easy dressing and undressing. left sleeve with practical welt;M;180;0,327;OT;OG
TRL/JF21/15/38;Damska Koszula Szefa Kuchni w Stylu Jeans;65% Poliester/35% Bawełna;Modna damska kurtka kucharska w stylu jeansowym z wąską sylwetką i krótkimi rękawami. Kontrastujące kolorowe szwy nadają jej oryginalny jeansowy wygląd. Asymetrycznie zapinana, jednorzędowa kurtka na 5 guzików z zatrzaskami do szybkiego otwierania i zamykania. Mankiety rękawów z rozcięciem i naszywaną kieszenią po lewej stronie z praktyczną przegródką na długopis. Nadaje się do prania przemysłowego.;Short-Sleeve Ladies' Chef Jacket Jeans-Style;65% Polyester/35% Cotton;Trendy ladies‘ chef jacket in jeans look with slim silhouette and short sleeves. Contrasting coloured seams for the original jeans look. Asymmetrically closed, single-row 5-button jacket with press studs for quick opening and closing. Sleeve cuffs with slit patched sleeve pocket on the left side with practical pen compartment. Suitable for industrial laundry.;W;195;0,274;OT;
TRL/BVS3/10;Fartuch Basic 60 x 35 cm, z Kieszenią;65% Poliester/35% Bawełna;Splot skośny. Modny, funkcjonalny fartuch z paskiem, wykonany z tkaniny fartuchowej. Wyjątkowo wytrzymały dzięki ściegom wzmacniającym na paskach. Naszyta kieszeń (60 x 22 cm) wzdłuż całej szerokości fartucha z 3 praktycznymi przegrodami (każda 20 x 22 cm).;Waist Apron Basic 60 x 35 cm, with pocket;65% Polyester/35% Cotton;Twill weave. Trendy, functional waist apron with continuous strap made of apron fabric. Additional durability due to bartacks on apron straps. Patch pocket (60 x 22 cm) along the entire width of the waist apron with 3 practical compartments (each 20 x 22 cm);U;215;0,212;OT;OR
TRL/DCJM8/69/46;Kurtka Kucharska Męska Długi Rękaw DIAMOND CUT Avantgarde;Część Przednia: 48% Poliester/48% Lyocell/4% Elastoolefina Część Tylna i Rękawy: 55% Bawełna/45% Poliester (Z Recyklingu);Przód: tkanina twill, 48% poliester/48% lyocell/4% elastoolefina, 180 g/m?, wysoce uszlachetniona, wstępnie skurczona. Tył i rękawy: tkanina Jersey Piqué, 55% bawełna/45% poliester (z recyklingu), 185 g/m?, oddychająca, regulująca wilgoć. Wysokiej jakości, elegancka męska kurtka kucharska z długimi rękawami i smukłą sylwetką. Bezkompromisowa innowacja w ponadczasowym designie z maksymalnym komfortem — stworzona dla szefów kuchni, którzy wyznaczają nowe standardy. Dopasowanie: dopasowany krój (zwężany). Przód wykonany z wygodnej, elastycznej tkaniny z wysokiej jakości lyocellem TENCEL™. Tył i rękawy wykonane z wyjątkowo cienkiej, zrównoważonej tkaniny Jersey Piqué zapewniającej oddychalność, wyrównywanie temperatury i niezrównany komfort. Materiał na plecach i rękawach zawiera poliester z recyklingu. Stylowy kołnierz-stójka i regulowane mankiety stanowią wyrafinowane elementy wzornictwa. Funkcjonalna pętelka na kołnierzu z tyłu do przypięcia fartucha (zapobiega zsuwaniu się). Ukryta plisa z zatrzaskami z przo;Long-sleeved Men's Chef Jacket DIAMOND CUT Avantgarde;Front Section: 48% Polyester/48% Lyocell/4% Elastolefin Back Section & Sleeves: 55% Cotton/45% Polyester (Recycled);front: twill fabric, 48% polyester/48% lyocell (Tencel®)/4% elastolefin, 180 g/m?, highly refined, pre-shrunk. back & sleeves: Jersey piqué fabric, 55% cotton/45% polyester (recycled), 185 g/m?, breathable, moisture-regulating. . high-quality, elegant men's chef's jacket with long sleeves and a slim silhouette. an uncompromising innovation in a timeless design with maximum comfort - created for chefs who set new standards. fit: slim fit (tapered cut). front made from comfortable stretch fabric with high-quality TENCEL™ lyocell content. back and sleeves are made from extra-fine, sustainable jersey piqué fabric for breathability, temperature equalisation and unrivalled comfort. the fabric in the back and sleeves contains recycled polyester. stylish stand-up collar and size-adjustable cuffs as sophisticated design elements. functional loop on the back collar to hold a bib apron (prevents slipping). concealed press stud placket in the centre front for easy dressing and undressing. left sleeve with practical welt;M;180;0,285;OT;OG
TKA/WK511/L021/7;Kurtka Kuchenna Oddychająca Unisex;65% Poliester/35% Bawełna;65% poliester z recyklingu / 35% bawełna. Tkanina twill. Pranie przemysłowe i/lub domowe w temperaturze 60°C. Prosty krój. Kołnierzyk typu stójka. Dopasowana taśma wzmacniająca na karku z twillu. Jedna kieszeń na piersi z lamówką i przeszyciem oraz jedna kieszeń na długopis na rękawie, po lewej stronie, gdy jest noszona. Zapięcie na krzyż na metalowe zatrzaski ukryte pod plisą. Tylny panel z oddychającej siateczki w tym samym kolorze. Rozcięcia po bokach. Wykończenie na dole i mankietach. Kieszeń RFID u dołu nad metkami. Odpinana metka marki.;Unisex Breathable Cooking Jacket;65% Polyester/35% Cotton;65% recycled polyester / 35% cotton. Twill fabric. Industrial and/or domestic washing at 60°C. Straight fit. Mandarin collar. Matching twill inner taped neck. One piped, topstitched chest pocket and one pen pocket on the sleeve, left side when worn. Cross-over fastening with metal press studs concealed under the placket. Breathable matching mesh back panel. Side slits. Finish on the hem and cuffs. RFID pocket at hem above labels. Detachable brand label.;U;180;0,39;OT;
TRL/JM15/5/50;Bluza Kucharska Gustav z Krótkim Rękawem (Premium);65% Poliester/35% Bawełna;Zatrzaski. Kieszeń na piersi o ukośnym kształcie. Tkanina uszlachetniana. Krótkie rękawy. Tkanina sanforyzowana. Materiał łatwy do utrzymania w czystości. Możliwość prania przemysłowego (bez nadruku) w temp. do 95°C;Chef Jacket Gustav (Premium);65% Polyester/35% Cotton;Ttwill weave. High quality fabric, pre-shrunk, colourfast, easy care. Chef jacket for men in a regular fit. Vienna seams on the back. Short sleeves. Slanted chest pocket on the left, with pen pocket. 5-button jacket with press studs. Suitable for industrial laundry. ''Mix and Match''. Washable 95°C;M;215;0,43;OT;
TRA/TRJ513/900/38R;Kombinezon Roboczy Pro Zip;65% Poliester/35% Bawełna;Częściowo elastyczny pas. Kieszenie na nakolanniki. 2 kieszenie na piersi zapinane na zamek błyskawiczny. 2 kieszenie tylne. Ukryte zapięcie z przodu na zamek błyskawiczny. 2 otwory na kieszenie boczne. Boczna kieszeń na nogawce. 1 górna kieszeń na rękawie. Kołnierz zapinany na zatrzaski. Wzmocnione szwy w kroku. Dostępne w wersji z regularnymi i z długimi nogawkami;Pro Zip Fasten Coverall;65% Polyester/35% Cotton;Part elasticated waist. Knee pad pockets. 2 zipped chest pockets. 2 back pockets. Concealed zip front fastening. 2 side pocket openings. Side leg Ruler pocket. 1 upper sleeve pocket. Stud fastened collar. Reinforced crotch seam. Available in Regular and Long leg lengths;M;245;1,6;OT;OR
TJN/JN887/L994/42;Kombinezon Work Overall - SOLID;65% Poliester/ 35% Bawełna;Wytrzymała tkanina mieszana. Elastyczna wstawka i regulowana plisa z tyłu. Wzmocniona partia kolan. Mocne potrójne szwy. Kryty dwustronny zamek błyskawiczny. 2 ukośne kieszenie, 2 tylne kieszenie z patkami, różne kieszenie na narzędzia, kieszeń na calówkę, kieszeń zapia na zamek błyskawiczny, kieszeń na telefon. 2 kieszenie na piersi z luźną kieszenią do łatwego ozdabiania. Elementy odblaskowe (bez funkcji ochronnej/nie jest to odzież ochronna) na kieszeniach, ramionach, z tyłu i na spodniach. Zamki błyskawiczne  YKK. prać w temperaturze 60°C, nadaje się do suszenia w suszarce;Work Overall - SOLID;Outer fabric (260 g/m?) 65% polyester, 35% cotton;Durable, hard-wearing mixed fabrics. Elastic band and movement pleat at the back. Reinforced knee area. Tearproof triple stitched seam. Concealed two-way-zip. 2 front pockets, 2 back pockets with pocket flap, several tool pockets. ruler pocket, zipped pocket, mobile phone pocket. 2 breast pockets with pocket pouch sewn on only on one side to facilitate decoration. Reflective elements (without protective function / no PPE) on pockets, . shoulders, at the back and on pants. Zips  YKK. Washable at 60°C and suitable for tumble drying;U;260;1,24;OT;
TRA/TRJ513/540/36L;Kombinezon Roboczy Pro Zip;65% Poliester/35% Bawełna;Częściowo elastyczny pas. Kieszenie na nakolanniki. 2 kieszenie na piersi zapinane na zamek błyskawiczny. 2 kieszenie tylne. Ukryte zapięcie z przodu na zamek błyskawiczny. 2 otwory na kieszenie boczne. Boczna kieszeń na nogawce. 1 górna kieszeń na rękawie. Kołnierz zapinany na zatrzaski. Wzmocnione szwy w kroku. Dostępne w wersji z regularnymi i z długimi nogawkami;Pro Zip Fasten Coverall;65% Polyester/35% Cotton;Part elasticated waist. Knee pad pockets. 2 zipped chest pockets. 2 back pockets. Concealed zip front fastening. 2 side pocket openings. Side leg Ruler pocket. 1 upper sleeve pocket. Stud fastened collar. Reinforced crotch seam. Available in Regular and Long leg lengths;M;245;1,6;OT;OR
